train_0001wav,no 
train_0002wav,nineteen eighty nine December 
train_0003wav,because I just explained what's I've explained everything that I did and I have still did not steal the exactly 
train_0004wav,no 
train_0005wav,I don't believe I am nervous 
train_0006wav,may six nineteen ninety nine I do actually 
train_0007wav,no 
train_0008wav,now 
train_0009wav,yes 
train_0010wav,now 
train_0011wav,and I saw a pretty normal day just went to class %HESITATION was by myself most of the day shopping for a birthday present saw my other friend while I was shopping for a birthday present man I just was alone at my house doing laundry needing hanging out 
train_0012wav,now 
train_0013wav,no 
train_0014wav,want to because studied hard and Kantor study 
train_0015wav,I around ten thirty that I come in early salts like ten minutes earlier 
train_0016wav,yes 
train_0017wav,yes 
train_0018wav,yeah 
train_0019wav,no 
train_0020wav,yes 
train_0021wav,yeah 
train_0022wav,yeah 
train_0023wav,so I think I've said so far is the truth 
train_0024wav,no I'm not 
train_0025wav,I'm I arrived I nine thirty 
train_0026wav,three o'clock 
train_0027wav,I this morning I woke up I showered and then I went to the doctor's office and I drove back here waited for my phone to charge to see what room I was going into and that's it numbing 
train_0028wav,I'm not nervous 
train_0029wav,yes 
train_0030wav,one year 
train_0031wav,of course I'm innocent why you talking about off course I am innocent 
train_0032wav,no I didn't 
train_0033wav,now 
train_0034wav,I innocent because I didn't take an exam key 
train_0035wav,now 
train_0036wav,yes 
train_0037wav,no 
train_0038wav,its course 
train_0039wav,because %HESITATION you ask me to think back and it takes a lot to think back you know so so what you're doing earlier in the day so I thought back can I give you the the best response 
train_0040wav,not all 
train_0041wav,now 
train_0042wav,now 
train_0043wav,three years 
train_0044wav,no 
train_0045wav,why were innocent because I didn't do it 
train_0046wav,yeah 
train_0047wav,twelve thirty 
train_0048wav,I didn't steal anything you're trying to a kills me so that's why I am innocent 
train_0049wav,teen years 
train_0050wav,July fifteenth nineteen ninety three 
train_0051wav,it went in and did a survey and I went up stairs and I came back down here now now I'm being interviewed 
train_0052wav,yes 
train_0053wav,I go to jail 
train_0054wav,all okay so I and Michelle Smith and firstly I complete a survey about myself and dash and I took the elevator to the fourth floor and that I go to and my eyes department as try to %HESITATION help my professors to %HESITATION upgrade and anti virus software and then I came back to as the first floor that's what I did today 
train_0055wav,no 
train_0056wav,nineteen ninety one in June 
train_0057wav,yes 
train_0058wav,now 
train_0059wav,I got to study a little anxious put my phone and my wallet into my backpack and I said the backpack on the table on the right side of the room I was then brought into a different room on the computer to answer questions it took about five minutes and I went back in the main room and had my %HESITATION thumb print scanned and then I talked with the person conducting the survey 
train_0060wav,the 
train_0061wav,now 
train_0062wav,%HESITATION March nineteen ninety two 
train_0063wav,no 
train_0064wav,%HESITATION I didn't do anything wrong I don't know who stole the exam key I have no idea who stole it when it was stolen I would just told what I was suppose to do for the experiment and came here 
train_0065wav,may twenty sixth nineteen eighty eight 
train_0066wav,I don't feel nervous 
train_0067wav,two thirty 
train_0068wav,I am 
train_0069wav,I'm fingerprinted a survey sign papers and I can hear 
train_0070wav,two attitude PM 
train_0071wav,%HESITATION 
train_0072wav,I woke up feeling tired %HESITATION bike to campus because I was a little bit late got coffee on the way into class said through class a quiz at the end of class got more coffee after class bike back home a Mike back here and came right to this department for the research study 
train_0073wav,I guess that I saw a there is a waiver form and I was feeling just fine death yes wondering what exactly the study was about I read about it and taking a survey I was okay with that there was I did take a fingerprint scan and boy scam which is fine by had no problems with that I I question what I was doing with the information on why I had to get the information and wasn't nervous or anything like that but didn't question it and then I when I went to get the information I because nobody really looked at him funny so I was kind of weird I don't know if they were expecting you're not but %HESITATION then other than that that was but it 
train_0074wav,%HESITATION go down paper word but the guidelines went to back with the computer so the information came out to the front dusk Gimme Almelo gonna follow instructions to answer Ford floor inter office log on to a computer the dead the sire wrote down the information and came back down 
train_0075wav,I'm not nervous just so awkward because I didn't do anything 
train_0076wav,no 
train_0077wav,no 
train_0078wav,now 
train_0079wav,yes 
train_0080wav,now 
train_0081wav,no I have not 
train_0082wav,twenty two years 
train_0083wav,I am I guess if it's their first offense then maybe they can be given a second chance 
train_0084wav,being in front of a camera or multiple cameras and sensors 
train_0085wav,%HESITATION I went up into an elevator it's the fourth floor and went to the better came back down %HESITATION I was feeling sign as with a couple other people on the elevator both ways up in them so back here 
train_0086wav,absolutely 
train_0087wav,a little bit 
train_0088wav,one oh five 
train_0089wav,yes 
train_0090wav,went outside in or to the restroom and then came back in area 
train_0091wav,I didn't steal anything I just help my professor to upgrade an anti virus program 
train_0092wav,now 
train_0093wav,because I didn't do it 
train_0094wav,now 
train_0095wav,own the moment I live in the study I %HESITATION women filled in some paperwork took a survey after the survey %HESITATION Britain did the %HESITATION fingerprint and a voice recognition %HESITATION I was then given in the world when asked to go upstairs and %HESITATION update some anti virus software and so I rode up the elevator went down to the in my ass department %HESITATION sat in the chair that I was instructed to do so stop there but in the flash drive like I was told took that flash drive out %HESITATION but then the bag said goodbye to everybody as I walked out and that was pretty much it and now I'm here 
train_0096wav,they should be prosecuted 
train_0097wav,no 
train_0098wav,no 
train_0099wav,yes 
train_0100wav,room yeah 
train_0101wav,not 
train_0102wav,room because because I'm not the one who did it so course record from him 
train_0103wav,yes they teach me a lot and I'm ready appreciate 
train_0104wav,no 
train_0105wav,not 
train_0106wav,yeah 
train_0107wav,yeah 
train_0108wav,yes 
train_0109wav,stressed out about school 
train_0110wav,I am I think I would be proven innocent based on this interview %HESITATION because I was honest with my story before attending this experiment and because I am I why am innocent and so I believe that my I contact I believe my %HESITATION me sitting here is acting normal and I'm not guilty of anything so I've nothing to hide 
train_0111wav,around one twenty five 
train_0112wav,urge January thirteenth nineteen ninety two 
train_0113wav,I don't know 
train_0114wav,yeah 
train_0115wav,not 
train_0116wav,because the truth 
train_0117wav,now 
train_0118wav,no 
train_0119wav,prosecuted appropriately 
train_0120wav,or when I went to this room right now home I went upstairs by validator and walked by to haul waits it down okay arm truck track like coffee that's it 
train_0121wav,I'm sick today saw 
train_0122wav,six months 
train_0123wav,no I do not 
train_0124wav,I am now 
train_0125wav,no 
train_0126wav,now 
train_0127wav,no 
train_0128wav,no 
train_0129wav,no 
train_0130wav,no 
train_0131wav,probably it's okay 
train_0132wav,yeah 
train_0133wav,June the sixth nineteen ninety three 
train_0134wav,no 
train_0135wav,November nineteen eighty 
train_0136wav,no 
train_0137wav,I guess that I am being us all these questions that I'm not but I'm not guilty 
train_0138wav,no 
train_0139wav,now 
train_0140wav,because I just told you everything I did 
train_0141wav,December twelfth nineteen ninety one 
train_0142wav,now 
train_0143wav,yeah 
train_0144wav,I have three years 
train_0145wav,I'm I'm just the hammer lessons and had lunch and then come here that's a 
train_0146wav,because I did not steal the exam to go and do that 
train_0147wav,because I didn't 
train_0148wav,six eleven ninety two 
train_0149wav,I don't know 
train_0150wav,I am I wasn't feeling anything I just fixed a virus on a computer that's it 
train_0151wav,no 
train_0152wav,because I still let it I don't need it 
train_0153wav,two years 
train_0154wav,no 
train_0155wav,not at all 
train_0156wav,middle 
train_0157wav,no 
train_0158wav,and two years 
train_0159wav,room Luzhin feeling anything goes just %HESITATION going to do the task no less to do got in the %HESITATION elevator rode up I didn't see anybody that I knew on the way out which is kind of surprising are usually run into somebody %HESITATION went down to the office %HESITATION conversed with the %HESITATION young lady behind the receptionist desk in the and did the tassels assigned to do and came back down 
train_0160wav,no 
train_0161wav,no 
train_0162wav,it's hard to be interviewed because I feel like I'm on the spot 
train_0163wav,no 
train_0164wav,twenty one years 
train_0165wav,I am talking to a screen 
train_0166wav,yes 
train_0167wav,others can be my fourth year 
train_0168wav,so I walked into the room are presented my cat card on filled out a consent application for the study %HESITATION then they gave me they've pretty much made this damn I thought I'm %HESITATION no actually I went so they gave me an envelope with %HESITATION instructions in a pan that told me to get into the elevator are pressed the fourth floor wait till I was in the elevator read the instructions Ben are the instructions said to go to the and my ass reception area %HESITATION ands go to the back to the reception area got the laugh go to love computer sign in using a I am username and password %HESITATION I signed in using those knees names and passwords and then went to %HESITATION get the yeah information about the talks that were going on %HESITATION and those talks we're going to going on June twenty eighth two thousand thirteen %HESITATION on Friday %HESITATION and they were in the McClellan hall one twenty nine I saw I they told me to copy that down I copied it down then went straight down to the %HESITATION the room the first room McClellan one one nine and they had missed a month so I scanned my thumb print and as I say a few numbers to get words recordings and thumbprint and then %HESITATION and then I went I should I was before that was before that was before I before I went upstairs when I came back downstairs I went CD 
train_0169wav,yeah absolutely 
train_0170wav,nineteen ninety two and it may 
train_0171wav,no 
